Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,76196,46447,8470,96058,230828,13529,8790,58036,316768,22038,8677,79283,45559,50645,9115,57114,62044,234505,8426,117905,56914
500,4995965,52780,9462,44337,64516,13215,8843,300892,50365,23094,6501,140567,39566,144912,9061,208421,58323,471872,7378,341523,157130
750,103269,5547790,9385,73696,33948,13216,8717,664956,52571,24198,6185,358103,38649,354349,8965,520651,60144,720863,6449,602296,262123
1000,78360,49697,10644,41687,35263,12624,9087,918299,49250,24664,6526,663536,38575,600476,8552,788451,41498,1225111,7372,840542,369733
1250,63089,38485,10855,38877,32916,12737,8538,1164727,57638,25031,6236,891679,36476,922535,9803,1258291,68424,1916854,6829,1078041,474950
1500,67881,37948,10588,47620,37661,12271,8809,1415657,51660,26606,8314,1100415,37575,1172810,9870,1351844,41952,1847007,7257,1341499,578956
1750,67309,38864,10646,39348,36389,13286,10388,1651778,51659,27574,7924,1313050,38434,1398263,9994,1542753,40500,2221826,6433,1888821,679502
2000,68943,40127,10634,40131,37847,12593,8957,1894064,51064,28085,8401,1501130,51085,1627494,9786,1733597,41206,2716026,6907,1843882,783649
2250,68941,40951,10930,39995,36788,12256,9103,2109613,51433,31829,8529,1942436,40933,1956236,9999,1930795,95542,3076301,6588,2029906,883019
2500,106262,41185,10919,40555,62429,13182,8631,2340052,70264,31334,8345,2074568,38033,2097486,9974,2219551,41618,3403159,8116,2270474,991760
2750,113072,41629,10770,40640,67305,12012,9123,2581741,50563,31518,7956,2275792,59180,2273796,10127,2401233,42411,4005576,8817,2500988,1110986
3000,78141,43051,10976,39133,36412,12621,10709,2883938,49267,31791,7904,2311426,43513,2475862,12047,2642414,39680,4372101,7403,2754018,1293635
3250,86842,42720,10965,39801,37312,14202,9534,3284757,50088,31853,8037,2532376,41084,2697873,11968,3766778,38847,4813735,6171,2995844,1566680
3500,81210,44358,11258,37824,39503,11997,10045,3414758,51269,33142,7884,2833119,40224,2917741,16501,3417334,40525,5205130,7120,3369987,1664744
3750,75628,43828,10866,38114,35497,12340,9874,3660413,50322,31441,7956,2968027,38673,3160729,16745,3398169,40799,6769679,6250,3575867,1511083
4000,74178,44532,10927,38096,56613,13018,12067,4004584,51704,31787,7948,3722633,38733,3388838,15799,3649366,40346,6656278,7567,3944231,1632505
4250,72557,45041,10929,39645,41161,12184,12405,4517109,54244,31197,7920,3547044,41481,3532485,17260,4001775,147314,7019735,8009,3931173,1733291
4500,72755,45305,11075,37405,36490,13071,12766,4717578,54736,34349,7913,3679242,40484,3780029,17529,5070368,38601,7386943,7543,4643164,1863889
4750,72839,45896,11109,37530,38558,12040,11498,4981326,57759,32979,7883,4151060,41382,4002173,18333,5022362,41898,7538474,8399,4442115,1974478
5000,72826,47157,10903,36681,36052,14091,12174,5327863,57169,31948,7892,4443456,38273,4163458,17187,5504940,39131,7927898,17440,4749426,2065848
5250,70850,47110,10967,37755,47340,12812,11503,5615560,123585,32160,7107,4251627,39771,4371317,14340,5962009,40064,8099027,7085,5118970,2163547
5500,73161,47840,10768,38014,40764,12736,12278,6341758,49756,33105,6304,4781671,41171,5327680,14735,6124736,39698,9251719,7737,5243940,2374771
5750,73506,47410,10833,36768,51104,11255,11892,6775854,47649,32636,6163,4719577,39683,6129177,17778,6561287,40047,9133144,7329,5416682,2353757
6000,75360,48076,10883,37830,38202,13569,12225,7546377,48591,33019,6220,5153654,39714,5972771,19080,6817919,39105,10019736,7505,5769233,2475214
6250,76950,49525,10926,35888,36512,13822,14131,8049699,51659,30621,6451,5220414,39815,6259707,18988,8287824,39361,10190319,7598,6258659,2714126
6500,76994,49306,11344,36434,35567,13297,11955,8830155,49542,32640,6239,5762816,38875,6228371,16700,8287724,37234,11181115,7023,6596727,2748009
6750,74078,49762,12808,56089,37091,12588,12649,9825120,51329,30765,6243,5580486,38705,6490999,16433,7454121,38844,12080850,7661,7033762,2750777
7000,75687,48935,12855,40479,37779,13605,11835,9705902,52031,34343,6166,6000622,38160,7563984,16230,8587102,39496,12716824,7199,6596013,3129420
7250,76641,49851,22365,37463,36013,11208,12922,10679408,52595,32270,6232,6470177,36550,6565119,17355,8701836,38249,13341516,7426,7548307,3030971
7500,74557,50460,13446,36641,35562,12107,13285,12812373,51673,34136,6203,7619210,36788,7169457,16520,9844613,35973,12914023,7354,7293709,3136193
7750,75021,51715,13961,38064,35030,13068,14584,13175738,53152,32874,6178,8537153,37802,7909602,17458,10572129,37574,12911755,7075,7999521,3438322
8000,73888,51713,14080,37631,35199,12636,13471,12808198,53839,31872,6241,7711061,38429,8026415,18785,9992905,37569,14803745,7359,8594047,3392731
8250,77073,52837,13796,37553,34387,12652,14007,13128048,53023,31870,6219,8185312,39349,8294392,17896,10731161,252615,15275360,7204,8714543,3553604
8500,75316,52754,13821,37723,33767,12298,14834,13985934,54657,30146,6261,8864457,37678,9037656,18555,11257224,41267,15504922,7250,9584490,3550431
8750,77854,53695,13703,35262,33243,11833,14636,15388450,54418,33852,6245,9451731,39682,9773038,18609,11694890,39309,15601706,6866,9170191,3822100
9000,78813,52165,13857,35806,33456,11609,13887,15626426,55967,32141,6218,10108732,38537,10913613,32029,12474150,40103,16172318,7557,9406128,4054764
9250,75423,53244,13162,34056,31521,11357,15039,15756388,84950,35302,6218,10316385,37496,12081946,18658,13553048,36766,16333314,7142,10112699,4118529
9500,76515,55245,13113,35908,32498,12253,14729,16144668,58989,30156,6159,10975124,39694,11013325,17488,13860248,39609,17350738,6950,10508041,4297782
9750,79503,54156,13465,37364,33631,13521,14571,18971120,56627,32697,6269,11065610,38639,11417239,19821,13927146,39538,16444915,7320,10281802,4298914
10000,79095,55228,13463,36306,34102,14000,15759,20485453,58328,32646,6242,11763037,41230,11555418,19721,14826534,37759,17224105,7864,11315462,4569331
10250,114795,55099,13108,35809,33263,13072,14595,19153157,58557,30988,6235,12439047,39775,13020120,19014,15984242,37940,18405422,7273,11666985,4790936
10500,90081,61047,13474,34401,32824,10966,13078,18842309,251468,33245,6256,12916858,38005,13690443,16899,17258820,36808,19436463,6831,12265443,4567106
10750,89802,63492,13143,34989,33866,12659,15745,20542454,51654,33951,32763,14413127,36040,13846041,18373,16761786,36732,20648533,7268,12215973,4499866
11000,87365,70971,13415,36492,35147,13845,15211,20620241,51877,34323,6234,14073077,38961,15066016,18708,17619483,37993,19637843,7367,12727075,4684882
11250,86127,140238,13215,35586,32903,11944,15864,22128604,51435,33941,6323,15106607,37833,16062779,19938,19994422,38763,21167595,7671,13205725,4919719
11500,84213,54248,13212,34718,33351,12853,15504,21642429,50462,32931,6172,15225838,36660,16611806,18068,18817905,36566,20508057,7163,12474297,5158559
11750,85405,56258,13396,34340,31245,12032,16393,22132268,51274,35014,6201,16513711,37362,17572782,18544,19566112,33597,22745068,6851,12113351,5270861
12000,87840,57070,13055,36471,33886,13438,18147,22305323,54407,33044,6166,17077741,38685,17805020,18126,21038656,38065,22646713,7696,13167763,5315302
12250,86897,57112,13395,33746,31559,13828,16685,24187233,53798,31464,6215,17778615,36397,17865932,18641,22095172,35402,22442592,7467,14668634,5406208
12500,89742,110091,13140,34068,33355,13250,15387,24562076,52649,29808,6258,18238101,37661,19171767,18405,21862795,34964,24634174,7643,15248053,5417993
12750,120073,68359,13440,35701,31951,13005,15409,25553929,54152,32458,6194,19445875,37324,20601144,18240,22364568,38363,24672884,7154,14572141,5539185
13000,97127,57121,13368,34490,32545,13068,18024,26344237,54026,32126,6187,20088591,37052,21379155,18436,23054690,36196,26336798,7279,15582895,5525409
13250,95782,56553,13340,34399,32252,12867,17245,26525476,53659,30091,6275,20092514,35518,21609865,17346,23554737,36166,26583326,6986,14365524,5914677
13500,96041,56709,13423,33598,33211,12136,16147,26654683,56794,32551,6162,20784103,36154,23379865,16610,25106899,35688,27932029,6772,16997363,5913353
13750,120889,57153,13510,34453,32333,12572,18194,26414745,53969,30271,6190,21145684,35588,22679027,17924,25821152,39685,26840954,6763,17958727,5899996
14000,96083,56639,13515,34107,33879,11841,17082,26123516,55649,32317,6168,21842994,37424,24302498,19092,24325905,36584,27905175,7881,18104772,6136623
14250,94900,60603,13560,32609,32917,13640,17220,27873563,54190,32779,6250,23167409,37139,26828015,20455,26145434,37658,29367426,7513,18706486,6049186
14500,92253,89536,13253,34447,33743,13201,17615,28209168,56370,31995,6185,23579649,35709,25563415,20682,27712860,36270,29389010,7057,20050828,6594473
14750,89405,59233,13139,33696,30628,12404,17569,31001157,54556,29854,6248,24459870,38124,27903286,20025,26663203,36061,28740419,7716,19361387,6901343
15000,92548,63521,13369,33955,33412,12818,15972,30907411,54802,30693,6173,25187993,39548,29425603,18687,26611453,36965,27263133,7302,20910296,6453722
15250,90679,88609,13509,33298,32493,12646,17596,31751479,54471,32959,6151,25815792,35866,29696924,20376,27642668,34205,28365242,7454,21596750,7534382
15500,89066,114712,13587,33415,32940,13055,17069,31250781,54640,30306,6176,26625103,36608,29430407,19964,28159526,37379,28496350,7333,22499462,7312554
15750,90485,91641,13403,32362,30324,12307,17527,30783769,53797,30883,6162,26562457,34830,29293294,21564,30367479,34003,28967865,6801,24454682,7270737
16000,89997,58481,13302,35695,34927,13075,16969,34454089,56088,30850,6206,27719186,37136,31140230,19707,28560373,37010,29850298,7055,27035490,6834798
16250,88945,58865,13231,36594,32144,12213,19393,35544790,54274,49953,6188,27976049,35569,33136638,23262,31094420,38288,33214476,7074,28297032,7085235
16500,89037,60443,13084,34504,32532,13134,31930,34423159,55202,31709,6371,28663280,36889,31992598,20145,30839616,461776,32640119,6754,28446735,7133533
16750,88491,61552,13608,35197,33052,14197,16266,33352169,56019,32318,6184,30825615,37390,32834216,19913,32418683,37455,34948857,7027,25417019,7119195
17000,90045,59626,14221,33363,33041,12485,15656,31554126,55702,29615,6217,31791153,36723,34162450,19311,30176984,36954,31814558,7151,32471799,7596744
17250,90242,61145,13129,33929,34102,12276,17427,33418355,54910,31465,6174,30444108,35478,35256333,21866,30775374,37990,38121261,7341,29002777,7351689
17500,89560,60910,13268,32524,34565,13479,16259,34506642,56379,30855,6163,30281781,37565,34841407,21064,31245810,37812,35233842,7297,32124340,7645546
17750,90534,60517,13355,34731,34160,12401,17011,37073817,53799,32142,6375,30594663,39284,34384152,19097,32003731,35521,36359539,7354,29953411,7532575
18000,87494,63584,13044,34577,33643,14363,16463,35631912,56364,32557,6226,31201220,38922,36211184,20345,31252384,35831,35604145,6822,34464177,8269891
18250,88089,63224,13488,33436,33530,13952,17370,34652943,55935,32028,6554,31610323,36521,36361853,20267,34604390,52234,35243033,6958,30664985,8230026
18500,90719,65254,13582,33799,32556,12911,17530,35168980,53456,34081,6285,32374285,37206,38427061,20001,33795648,36926,39295968,6928,35224693,8290101
18750,89714,123632,13118,35808,33260,13608,16116,38804627,56884,31512,6328,33933095,38036,39780539,19564,35099074,36632,40141300,7117,29840844,8061744
19000,87965,62942,13219,37700,50411,14889,16429,39257484,59501,36125,6250,32946061,38243,37972965,20897,35783536,36463,38431391,7806,31650287,8369297
19250,89438,62485,13400,36294,125184,13704,15648,35948596,58565,32485,6179,34154202,35833,41034728,20822,35367906,34417,37276010,7367,36128177,8370867
19500,87918,61553,13144,36989,36654,11865,15339,38755133,60891,35758,6437,33564119,37972,39734704,18547,34911921,37024,37776979,7919,38688348,8467723
19750,88547,63618,13179,53387,35322,13250,14924,37804768,55958,37175,6292,34827093,37228,41805656,19515,34528330,38194,38343753,7729,33701733,8523108
20000,88751,64951,14786,65776,33619,13645,14377,38358842,57469,36826,6155,34877475,35776,40779420,19555,36170442,35385,39028735,31790,33935929,8714068
20250,90062,65267,13043,40632,34488,14487,13520,42782819,58426,85262,36305,36161756,37044,41631744,19208,36848071,35676,38036115,5673,37579510,8838240
20500,87747,78966,13238,37518,38183,14166,14493,43733873,59789,33932,6234,35577835,44183,43085822,18302,37533849,36721,41507662,5723,33506161,8866104
20750,90250,63950,13167,36878,37634,13666,15393,39512078,59321,35888,6192,36535849,77436,43462818,19537,36973994,37669,43705547,5895,35290148,9352410
21000,88579,65915,13247,37647,36788,13662,14710,41247724,569098,33754,6445,38743487,43111,43451372,19140,37754479,34018,39805640,5780,38705110,9508955
21250,88654,65635,13234,38321,43934,12396,16212,39647715,50623,36170,6411,36477926,40965,43353838,20511,39414120,35372,40451504,19099,35000377,9868901
21500,89772,83516,13569,39568,36703,12814,14887,42909177,53639,38268,6203,40011723,42241,43770719,19337,38480559,34633,40826014,5783,35592116,9444114
21750,89497,120073,13278,36490,36536,12750,13473,43134917,53780,35830,6135,37605563,41600,44687312,20310,39464536,34080,41035890,5848,37465688,9757619
22000,91418,64688,12736,36456,34339,12530,15338,43552335,57197,38350,6196,38547561,43199,44076795,18751,39439732,38570,45826324,5696,39709464,9395871
22250,89388,64297,12661,36266,35195,14540,14313,45895181,59746,37723,6190,38937561,41309,45978739,19413,41767571,33470,45485532,5648,39070906,9759440
22500,91683,66084,12610,34517,34983,12523,14039,43424592,59409,37095,6182,39482816,42884,48444124,18603,41457095,31705,44453285,5519,40482143,9739506
22750,87942,65272,12749,36840,37338,14442,14315,43475525,60135,38105,6139,39685061,43863,46132490,17839,40691463,35548,45965063,5622,41093847,10251894
23000,89259,63148,12593,40624,34320,12374,15316,48588266,60275,37139,6177,41285684,39469,47169208,20142,41610270,34461,42961493,5892,40923916,10572693
23250,88864,65700,12898,38004,33928,11664,15062,43225863,62656,35868,6196,40099711,45136,48973898,19926,43439496,38116,48085466,5410,45760411,10503505
23500,88030,67016,12728,34819,35687,13778,14151,44231987,62896,38712,6234,40762565,224608,47611984,18660,42113099,34777,50298328,5480,43161231,10524846
23750,89337,67833,13706,37021,34730,14111,13699,45650941,66451,38662,6211,40934432,48791,47298030,19143,42001096,34581,53555121,5463,41991591,11330013
24000,89329,65448,13353,34836,123719,13254,14555,45185742,85429,38154,6404,44012327,57165,47888705,19567,43711879,36473,50002692,5439,42566860,12953285
24250,88466,69057,13246,61877,68398,13388,13993,47565443,65048,38083,6246,41738422,48919,49811572,20119,44600494,35956,53019540,5594,42069511,11072793
24500,87832,68424,13346,35209,37376,14186,14620,46896927,66612,36802,6181,42550446,58239,51978056,19237,46843355,35794,51817183,5612,42033267,10648177
24750,88606,125906,13315,35501,36611,13151,17215,48793048,70802,38643,6230,42591092,92934,51361479,19391,45061386,34505,51675305,5577,42659019,10669353
25000,146520,68241,13473,37287,43176,12871,15030,48525496,80221,38929,6179,43496675,84448,50359274,18797,46650437,36191,52279314,5571,43651659,11147568
25250,93983,68133,13160,36500,34920,14030,15609,48450755,140580,36824,6184,45029509,49808,51454260,19472,44514302,35324,51546670,5475,43497333,12231298
25500,90506,69131,13290,37185,51097,12904,13632,47314180,136950,36865,6239,46445087,56745,50485932,19319,46565438,35108,52401164,5572,42310775,11699801
25750,90624,68576,13253,41888,40605,13823,15585,50075265,131396,41250,6189,43733461,45930,52340303,19347,44172532,33829,49005674,5681,45295110,11359290
26000,92050,70500,13235,36067,37927,12701,14091,52320731,220595,40867,6213,44487671,45094,54907827,20121,45384527,32898,56604964,5647,46103597,12940256
26250,91581,69516,13388,35997,50244,12649,13714,50223247,114491,36342,6176,45310333,59006,54185623,18588,46337198,32582,53573708,5888,47279529,13238019
26500,90860,73813,13265,35385,40799,14392,15438,51306297,89215,39304,6210,47143780,48461,53684658,16386,49317140,35836,55135348,5590,46618997,11648570
26750,154840,132303,13240,36981,96489,12116,16435,50945659,111219,40765,6248,47171322,61537,54977108,20443,51109506,33611,55947881,5543,49373754,11544933
27000,100394,73661,13702,37495,44930,12564,16050,52254109,80480,41308,6408,46595416,52169,55361062,19339,48637982,77234,56858874,5583,52002219,11849114
27250,91364,75485,13539,36719,60244,13303,17228,52805948,85331,42710,6199,46918830,44423,53619106,18964,51776748,35202,52118029,5566,44370236,12272514
27500,91756,172261,13268,35343,36523,13182,16473,53830836,83822,43558,6207,48125615,43740,54160906,19928,48833747,33260,54613764,5427,48122700,12253437
27750,92691,72117,13239,36965,39378,12521,15587,54984096,82271,43804,6349,50408164,46401,55860057,19042,48828592,35882,57033264,5440,55616980,13168490
28000,90554,74239,13293,35598,93118,12437,16281,53766828,84060,42519,6337,48668250,47052,57545747,18966,49821743,34299,53219126,5753,51645792,12225601
28250,94157,74071,13389,36752,39585,12936,15264,53505454,107827,42610,7878,48693595,49386,58394355,17689,50959662,34601,54031739,5552,50587262,12671445
28500,91511,71808,13242,35594,38822,13499,15760,53890102,145457,42081,7810,48675542,49095,57182994,18864,51386678,33451,54800239,5495,50243973,13999325
28750,89069,73554,13221,35939,38252,12595,17197,57414194,84614,41317,7878,50228528,46615,58107914,18111,51064672,32913,64282342,5598,59540739,13345897
29000,90877,71044,13417,36533,36530,12537,16083,60898919,110524,40046,7888,51553703,44283,57863879,17846,52486433,30935,54887113,5267,52594503,14058900
29250,91686,72640,13506,36557,37835,13984,15068,60149965,107168,44391,7836,50246828,44598,58882656,16414,52988046,33920,55624849,5684,60743797,13839057
29500,91544,77233,13259,37542,37214,15272,16578,60498507,95626,42877,59571,50877560,45852,58961004,18225,51660645,35431,59340745,5386,51699505,14092306
29750,89756,76394,13263,36205,35679,14484,16321,58448980,94897,44009,7959,50743932,61852,58949482,18383,53533236,34227,61325899,5508,55862072,13165532
30000,92097,78957,13606,37801,36851,12515,15700,59379488,105355,46068,7831,51310647,49802,61114697,17633,54087074,34882,64765983,5622,53123503,13825228
30250,90538,130242,13529,36231,35315,14203,15710,61458936,82700,43522,7857,52465439,48393,61387754,18544,52972091,32445,63548238,5441,57023728,14071642
30500,91875,75791,13255,37093,36276,13162,17515,64218706,94761,42788,7860,53148507,49059,61574696,19824,53256812,34272,68983653,5645,60763581,14532246
30750,91829,74934,13404,35453,36055,12438,16494,64057781,88382,56844,7863,58811366,45286,60595275,18696,53215694,32533,67999390,5914,57267396,15101355
31000,97850,76588,13285,37922,34543,13599,18331,63491298,89928,44515,7834,57881378,54063,61261633,17712,56322481,33114,58367853,5558,55985989,14140080
31250,92400,78450,13490,34855,36793,11451,16482,63940447,82437,42961,7842,53705807,185996,60759822,17402,56650635,33489,60092411,5572,62258897,13292332
31500,92024,80827,13565,37670,37002,12719,16173,62674639,83125,44063,7857,54379425,50273,64033450,18087,57020359,35253,66586662,6105,55815635,14048328
31750,93323,109426,13301,36338,35486,12588,16623,66179564,83082,43227,7901,53925305,109781,62949066,17554,58149964,36279,69101552,5602,56610085,14036347
32000,90505,77711,13276,33668,35226,12126,17660,65603371,280051,42849,7871,54930762,55476,64152335,17422,56195032,76217,66903965,5758,59963924,13938233
32250,94150,79576,13380,35799,34453,12484,18511,67166162,116745,44734,8017,55237658,65663,65658410,18520,56715222,40759,74107407,5748,57246093,14152712
32500,93279,102654,13351,34871,35820,10761,15733,66126001,83897,43897,7854,55893910,88594,65563633,17954,54408190,38194,61423657,5627,59594162,15937658
32750,90690,133161,13437,34101,34889,12313,15587,65292489,86279,43628,7858,55976349,49737,66464507,17950,56690762,33731,65030899,14467,61330696,16064846
33000,92254,77602,13188,34244,36743,11055,14950,67356659,82723,45769,7822,55768757,51585,65254161,16649,57824322,1060319,63573060,5653,65685121,14758266
33250,91466,76406,13602,35394,40816,11623,14520,71142061,78585,44180,7820,57012169,80518,68252356,16950,58173118,36518,67742375,5925,62336083,14897551
33500,91384,78964,13548,35300,40634,12609,15167,67932393,84165,43686,7797,57662108,76607,67767883,17761,58042649,36169,71633708,6062,67315616,14966057
33750,92366,78217,13380,33609,37518,11655,14765,67685767,258388,43757,8051,57934395,51676,70211300,18428,57750236,86272,71172865,5762,64543192,14579116
34000,91475,76650,13439,34139,35744,12546,14573,72050106,86277,45001,19161,57909980,49183,66366476,19127,58539099,35768,72998703,5400,68548885,14942259
34250,90459,79526,13428,34662,37636,14650,13665,69427954,91076,45648,7982,59008258,87502,69756804,17801,60584119,35062,68209404,5422,68037201,14933848
34500,92050,82538,13597,34243,38888,13303,15499,68252112,80596,45381,7979,59278452,49712,67675595,17738,58817245,55996,69944987,5956,63015243,16980792
34750,91318,79674,13410,35189,39065,11497,17622,72683787,79053,47075,7963,59984763,51420,69934563,18819,61840761,69826,69392189,5692,65044327,15991029
35000,96855,84516,13304,34551,38370,11906,15711,70594893,84867,47655,7837,61546258,47542,69099337,18572,61940336,61215,71766079,5657,62472070,15151253
35250,96082,142524,13368,33921,35412,11588,16884,72636756,79813,50425,7848,60524226,46875,68791091,18469,59537653,39493,70979952,5682,63721674,15160098
35500,95927,79525,13375,35341,35517,12762,16868,70051932,78473,45230,7890,60448431,45946,69679340,17359,60796155,39201,69595555,5582,63995452,15242143
